id_census,id_county,id_state,id_rural,id_urban,id_totalpop,id_totalhousing,id_group,id_vehacc,acc_ur_1to10,acc_ur_1to20,acc_tract1,acc_tract10,acc_tract20,acc_store1,acc_store10,acc_store20,idv_income1,idv_income10,idv_income20,idv_inc_acc,idv_child1,idv_child10,idv_child20,idv_senior1,idv_senior10,idv_senior20,nbh_income,nbh_acc1,nbh_acc10,nbh_acc20
53063002100,Spokane,WA,0,1,2474,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53063002300,Spokane,WA,0,1,5073,2030,0,1,1,1,1,0,0,1013.915853,0,0,672.8532711,0,0,1,197.9585029,0,0,151.9802964,0,0,1,17.63770627,0,0
53063002400,Spokane,WA,0,1,2484,1032,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
53063002500,Spokane,WA,0,1,8679,2386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53063002600,Spokane,WA,0,1,5236,2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53063002900,Spokane,WA,0,1,3387,1227,0,0,0,0,0,0,0,0.018164417,0,0,0.00557269,0,0,0,0.007265767,0,0,0.003632883,0,0,0,0,0,0
53063003000,Spokane,WA,0,1,2759,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53063003100,Spokane,WA,0,1,4954,1999,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
53063003200,Spokane,WA,0,1,2566,1506,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
53063003500,Spokane,WA,0,1,2604,1605,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
53063003600,Spokane,WA,0,1,3906,2433,0,0,1,1,1,0,0,625.2207653,0,0,421.1277196,0,0,0,96.85222011,0,0,46.73160617,0,0,1,19.92095322,0,0
53063003800,Spokane,WA,0,1,1746,882,0,0,1,1,1,0,0,802.1582532,0,0,237.1900893,0,0,0,102.3675932,0,0,114.2712181,0,0,0,33.67019356,0,0
53063003900,Spokane,WA,0,1,2043,979,0,0,1,1,1,0,0,777.0415257,0,0,183.7897715,0,0,0,165.2358074,0,0,179.7121152,0,0,0,7.483188088,0,0
